car,Avg_price
Chrysler,9557.875
Lexus,27743.190804597703
Dacia,4891.791666666667
Suzuki,10855.063793103449
QUAZIP,2257.7916666666665
MG,9149.5
ZAZ,3153.5678333333326
Groz,4400.0
Seat,8414.076923076924
VAZ,2830.745296523518
Lancia,2166.6666666666665
Samand,4749.5
Acura,18554.384615384617
Wartburg,1000.0
Maserati,110000.0
Fisker,0.0
SMA,2900.0
Huanghai,8500.0
Mazda,10111.642171717172
Moskvich-AZLK,1629.1666666666667
Barkas,5500.0
Jaguar,24791.644736842107
GMC,17666.0
Aston Martin,105000.0
Rover,12512.5
Lincoln,16500.0
ZX,7700.0
TATA,12900.0
GAZ,3225.377941176471
Mercedes-Benz,28314.937024972856
Kia,12216.000693023254
Daewoo,3757.6555319148933
Samsung,6299.0
Tesla,99509.09090909091
Alfa Romeo,9040.818181818182
Audi,17882.75273522976
BYD,8114.142857142857
Ferrari,167500.0
Opel,6253.97
Lifan,3800.0
Dodge,17768.75
Honda,13523.89978276699
Citroen,8215.226201388889
Volkswagen,12732.631693589743
Geely,6253.815089285715
Rolls-Royce,65000.0
Porsche,45606.782608695656
Smart,6770.497234210527
Buick,3500.0
Aro,3600.0
SsangYong,14252.015222222224
Dadi,5550.0
Renault,7812.404896695095
Bentley,197504.625
Chevrolet,10163.843125
Bogdan,4950.0
Isuzu,9980.0
Chery,4404.671698113207
Lamborghini,130000.0
BMW,22677.912463976947
Saab,7000.0
Land Rover,50557.45033112583
MINI,17667.666666666668
Skoda,10703.783621059783
Hafei,6100.0
Jeep,25647.52
Hyundai,12457.30589918256
Volvo,18586.5625
Ford,10448.150968571428
Hummer,28440.0
Mercury,10000.0
Great Wall,8555.555555555555
Moskvich-Izh,1176.10259
Changan,6028.0
Fiat,6473.388655462185
FAW,4900.0
Nissan,14109.543175271743
Other-Retro,12700.0
Subaru,13873.631578947368
Infiniti,27741.494375000002
JAC,8350.0
Toyota,21839.571541219964
Cadillac,70833.33333333333
Peugeot,8704.923076923076
UAZ,4551.428571428572
Daihatsu,6600.0
Mitsubishi,11157.539143730886
